,Method,EC,EC_vec_sd,EC_scalar_sd,Test_MAE,Test_MAE_sd,Test_MAPE,Test_MAPE_sd,Test_MSqE,Test_MSqE_sd,Test_R2,Test_R2_sd
0,ratio,0.4797081960957653,0.08735550337093202,0.01659740269088206,0.574592711516142,0.05530223160352785,0.18819457341876938,0.03728877055916631,0.6809895982531448,0.09549378367201279,0.9187866851866925,0.011388377643304535
1,ratio-diff,0.40438110090110346,0.08337738541158796,0.01602450707690327,0.574592711516142,0.05530223160352785,0.18819457341876938,0.03728877055916631,0.6809895982531448,0.09549378367201279,0.9187866851866925,0.011388377643304535
2,ratio-signed,0.2011879091285926,0.22453939515829632,0.06871339882773644,0.574592711516142,0.05530223160352785,0.18819457341876938,0.03728877055916631,0.6809895982531448,0.09549378367201279,0.9187866851866925,0.011388377643304535
3,ratio-diff-signed,0.08725986342195668,0.09498077754143046,0.030368992912015606,0.574592711516142,0.05530223160352785,0.18819457341876938,0.03728877055916631,0.6809895982531448,0.09549378367201279,0.9187866851866925,0.011388377643304535
4,intersection_union_sample,0.15416192091450498,0.18397303082907793,0.05210302059949988,0.574592711516142,0.05530223160352785,0.18819457341876938,0.03728877055916631,0.6809895982531448,0.09549378367201279,0.9187866851866925,0.011388377643304535
5,intersection_union_all,0.16225529591346285,0.05626087141069062,NA,0.574592711516142,0.05530223160352785,0.18819457341876938,0.03728877055916631,0.6809895982531448,0.09549378367201279,0.9187866851866925,0.011388377643304535
6,intersection_union_distance,0.8354460111555372,0.6677427993766102,0.12987171173286366,0.574592711516142,0.05530223160352785,0.18819457341876938,0.03728877055916631,0.6809895982531448,0.09549378367201279,0.9187866851866925,0.011388377643304535
